,stn,avg_temp,lat,lon
287,402500,74.17777777777778,32.539,38.195
288,403770,84.98222222222222,27.901,45.528
289,404194,62.41818181818182,27.039,49.405
290,405520,81.8732558139535,29.617,47.583
291,405680,78.89825581395348,29.767,48.367
292,405900,75.68507462686568,29.067,47.533
293,405930,82.162109375,28.867,48.283
294,406200,75.00645161290322,35.2,45.95
295,406330,78.09473684210526,34.567,43.7
296,406370,77.51473354231975,34.35,45.383
297,406506,77.54392265193371,33.94,44.362
298,407127,77.38882681564246,32.434,48.398
299,407350,71.95420560747664,37.25,55.1
300,408352,62.23676012461059,34.28,48.82
301,408353,64.18286604361371,34.9,48.63
302,408354,84.50373831775698,27.12,57.1
303,408357,51.783489096573206,34.28,47.12
304,410300,90.43687150837991,21.433,39.767
305,412161,77.7,24.074,52.464
306,412162,85.13333333333334,24.248,54.548
307,412163,85.63333333333334,24.51,52.335
308,412164,80.76101694915255,25.027,55.366
309,412490,83.6042979942693,23.933,56.2
310,412500,85.49573863636365,23.717,55.9
311,412540,66.80982658959536,23.067,57.633
312,412570,85.52456647398844,23.254,57.928
313,412590,45.67,23.233,57.267
314,412620,85.71060606060608,22.35,56.483
315,412630,84.3323782234957,22.912,57.257
316,412640,84.93977272727271,22.5,57.367
317,412660,83.1014245014245,22.633,58.667
318,412700,78.85344827586208,22.3,59.817
319,412720,83.99111747851,23.817,57.283
320,412740,85.9239583333333,21.383,57.05
321,412750,84.14178674351584,21.383,57.05
322,412760,82.98443804034584,20.8,57.117
323,412800,87.06627218934914,23.5,58.483
324,412870,80.61954022988508,20.867,58.25
325,412880,80.77507082152974,20.675,58.89
326,412900,84.36925287356324,19.617,57.633
327,412920,84.03843930635837,22.517,58.117
328,412930,83.36666666666667,22.467,58.85
329,412950,81.60949367088607,19.95,57.1
330,413040,81.51374269005845,18.133,55.183
331,413120,79.73447293447293,16.933,54.017
332,413140,79.78861111111108,17.666,54.025
333,413150,70.45714285714288,17.25,54.083
334,413910,65.02,15.833,43.583
335,414040,71.575,15.476,44.22
336,414310,82.86000000000001,14.753,42.976
337,414340,67.89999999999999,14.583,44.417
338,414363,77.05555555555556,15.967,48.783
339,414370,72.21111111111111,14.551,46.826
340,414520,72.28,14.0,44.333
341,414940,81.08000000000001,12.633,53.9
342,415040,58.660000000000004,36.167,73.4
343,415160,64.09,35.919,74.334
344,415170,56.2,35.336,75.536
345,415180,70.40909090909092,35.667,74.633
346,415190,78.59285714285714,35.417,74.1
347,415195,90.10000000000001,25.983,63.033
348,415200,58.7,35.367,74.9
349,415215,79.97142857142858,29.967,70.483
350,415225,70.08125,34.333,73.517
351,415330,79.83333333333334,34.081,71.973
352,415640,81.92,33.567,71.433
353,415650,74.72000000000001,33.817,71.883
354,415770,76.9,33.717,73.1
355,415920,81.74,32.563,71.571
356,415925,82.42379603399435,27.722,68.792
357,415990,74.07416666666666,32.5,74.533
358,416410,76.56169014084509,31.522,74.404
359,416720,84.37333333333333,30.783,72.2
360,417010,80.71428571428572,29.4,71.783
361,417160,83.94285714285715,28.384,70.28
362,417470,83.3,27.335,68.143
363,417570,81.98636363636365,25.233,62.329
364,422600,78.26515580736545,27.156,77.961
365,427051,63.15415162454874,31.877,77.154
366,427052,79.03396226415094,30.673,76.789
367,427053,51.842358078602615,34.136,77.547
368,429460,80.58923076923077,20.6,79.85
369,431500,83.0189591078067,17.7,83.3
370,432570,81.17560975609756,13.5,75.083
371,444040,63.199053627760264,29.3,80.583
372,444060,74.38626198083068,29.25,80.95
373,444090,77.8936507936508,28.8,80.55
374,444160,74.55886075949364,28.6,81.617
375,444180,78.5755700325733,28.1,81.667
376,444240,59.87593220338984,29.283,82.167
377,444290,75.09189189189189,28.05,82.5
378,444340,72.56750788643537,28.201,83.981
379,444380,80.37192307692308,27.506,83.416
380,444490,78.57019867549668,27.159,84.98
381,444620,64.06687898089173,27.3,86.5
382,444740,64.33665480427048,27.35,87.667
383,444770,69.27986798679868,26.983,87.35
384,444780,79.55067567567569,26.481,87.264
385,471025,50.118750000000006,38.2,127.55
386,471260,62.224999999999994,36.933,126.45
387,471540,56.93884297520662,36.117,128.317
388,471750,54.44903581267218,34.467,126.333
389,478210,52.09785932721712,32.883,131.067
390,489125,82.24407713498626,10.083,105.717
391,489550,82.02155172413795,15.117,105.767
392,505270,35.38274336283186,49.25,119.7
393,508440,43.170247933884305,46.4,123.45
394,536730,52.40055096418734,38.75,112.7
395,544360,52.3633608815427,40.4,118.95
396,545340,55.65702479338844,39.65,118.1
397,568380,71.39752066115703,24.0,97.85
398,570140,54.997206703910614,34.57,105.87
399,597580,76.88409090909092,20.0,110.25
400,604610,56.83103448275862,35.7,-0.65
401,606190,73.64738292011016,28.467,2.517
402,606600,87.56498316498319,25.267,3.733
403,606670,53.15,24.6,10.217
404,614370,89.21081081081078,19.75,-14.367
405,614500,89.82173913043478,18.57,-11.424
406,614610,97.74444444444444,17.533,-14.683
407,614920,90.73984962406014,16.16,-13.508
408,614970,98.18888888888888,16.622,-7.317
409,614980,91.88949416342413,16.59,-11.406
410,614990,90.4548717948718,16.711,-9.638
411,617330,85.44999999999999,13.667,-14.467
412,618020,85.50752688172044,12.567,-13.517
